"","outcome","SwissTPH","Imperial"
"1","propDeathsAverted_U5","9.2 (8.7 to 10.1)","11.5 (8.3 to 13.5)"
"2","propClinicalCasesAverted_U5","13.2 (11.2 to 14.6)","13.3 (12.6 to 15.1)"
"3","deathper100kvaccaverted","417 (205 to 540)","449 (313 to 536)"
"4","clinicalCasesper100kvaccaverted","108824 (46978 to 121182)","98174 (57938 to 145881)"
"5","costperdaly_2","42 (36 to 101)","34 (28 to 53)"
"6","costperdaly_5","89 (74 to 211)","74 (62 to 111)"
"7","costperdaly_10","167 (139 to 393)","140 (117 to 207)"
"8","costperClinicalCase_2","26 (21 to 39)","10 (6 to 17)"
"9","costperClinicalCase_5","54 (44 to 82)","21 (14 to 36)"
"10","costperClinicalCase_10","100 (83 to 152)","40 (26 to 68)"
